1997_933.txt-Art. 41.;Czy komisja posiada możliwość wydania decyzji o odmowie udzielenia zezwolenia w przypadku nie otrzymania rękojmi należytego wykonywania obowiązków?;1. Komisja wydaje zezwolenie na utworzenie towarzystwa w terminie dwóch miesięcy od dnia złożenia wniosku. 2. Jeżeli wniosek o wydanie zezwolenia na utworzenie towarzystwa nie spełnia warunków określonych przepisami prawa, Komisja wzywa wnioskodawcę do usunięcia braków, określając termin nie krótszy niż siedem dni. 3. Jeżeli osoby, o których mowa w art. 40 pkt 4, nie dają rękojmi należytego wykonywania obowiązków, Komisja wydaje decyzję o odmowie udzielenia zezwolenia. 
1997_933.txt-Art. 18.;Czy komisja posiada możliwość wydania decyzji o odmowie udzielenia zezwolenia w przypadku nie otrzymania rękojmi należytego wykonywania obowiązków?;1. Komisja wydaje zezwolenie na utworzenie funduszu inwestycyjnego w terminie dwóch miesięcy od dnia złożenia wniosku. 2. Jeżeli dokumenty, o których mowa w art. 17 pkt 1 i 2, nie spełniają warunków określonych przepisami prawa, Komisja wzywa wnioskodawcę do usunięcia braków, określając termin nie krótszy niż siedem dni. 3. Jeżeli osoby, o których mowa w art. 17 pkt 6 i 7, nie dają rękojmi należytego wykonywania obowiązków albo jeżeli statut funduszu nie uwzględnia należycie interesów uczestników funduszu, Komisja wydaje decyzję o odmowie udzielenia zezwolenia. 
2000_1099.txt-Art. 41.;Czy komisja posiada możliwość wydania decyzji o odmowie udzielenia zezwolenia w przypadku nie otrzymania rękojmi należytego wykonywania obowiązków?;Komisja wydaje decyzję odmawiającą zezwolenia w przypadku, gdy wniosek o wydanie zezwolenia nie spełnia warunków określonych w art. 39 lub gdy z przedstawionych danych wynika, że spółka nie daje rękojmi należytego wykonywania działalności. 
2004_1924.txt-Art. 1.;Czy Premier Rzeczypospolitej Polskiej otrzymał zgodę na dokonanie ratyfikacji Konwencji o pomocy prawnej?;Wyraża się zgodę na dokonanie przez Prezydenta Rzeczypospolitej Polskiej ratyfikacji Konwencji o pomocy prawnej w sprawach karnych pomiędzy Państwami Członkowskimi Unii Europejskiej, sporządzonej w Brukseli dnia 29 maja 2000 r., oraz Protokołu do Konwencji o pomocy prawnej w sprawach karnych pomiędzy Państwami Członkowskimi Unii Europejskiej z dnia 29 maja 2000 r., sporządzonego w Luksemburgu dnia 16 października 2001 r. 
2001_1074.txt-Art. 1.;Czy Premier Rzeczypospolitej Polskiej otrzymał zgodę na dokonanie ratyfikacji Konwencji o pomocy prawnej?;Wyraża się zgodę na dokonanie przez Prezydenta Rzeczypospolitej Polskiej ratyfikacji Konwencji konsularnej, podpisanej w Warszawie dnia 27 listopada 1997 r. 
2002_976.txt-Art. 1.;Czy Premier Rzeczypospolitej Polskiej otrzymał zgodę na dokonanie ratyfikacji Konwencji o pomocy prawnej?;Wyraża się zgodę na dokonanie przez Prezydenta Rzeczypospolitej Polskiej ratyfikacji Konwencji o przystąpieniu Republiki Czeskiej, Republiki Estońskiej, Republiki Cypryjskiej, Republiki Łotewskiej, Republiki Litewskiej, Republiki Węgierskiej, Republiki Malty, Rzeczypospolitej Polskiej, Republiki Słowenii i Republiki Słowackiej do Konwencji o prawie właściwym dla zobowiązań umownych, otwartej do podpisu w Rzymie w dniu 19 czerwca 1980 roku, oraz do Pierwszego i Drugiego Protokołu w sprawie jej wykładni przez Trybunał Sprawiedliwości Wspólnot Europejskich, sporządzonej w Luksemburgu dnia 14 kwietnia 2005 r. 
1995_59.txt-Art. 5.;Czy Najwyższa Izba Kontroli przeprowadza kontrolę pod względem dochodowości?;1. Najwyższa Izba Kontroli przeprowadza kontrolę pod względem legalności, gospodarności, celowości i rzetelności, z zastrzeżeniem ust. 2 i 3. 2. Kontrola działalności samorządu terytorialnego w zakresie wykonywania zadań własnych przeprowadzana jest pod względem legalności, gospodarności i rzetelności. 3. Kontrola działalności jednostek organizacyjnych i podmiotów gospodarczych, o których mowa w art. 2 ust. 3 pkt 4-6, przeprowadzana jest pod względem legalności i rzetelności. 
1995_59.txt-Art. 4.;Czy Najwyższa Izba Kontroli przeprowadza kontrolę pod względem dochodowości?;1. Najwyższa Izba Kontroli kontroluje wykonanie budżetu, gospodarkę finansową i majątkową Kancelarii Prezydenta Rzeczypospolitej Polskiej, Kancelarii Sejmu, Kancelarii Senatu, Trybunału Konstytucyjnego, Rzecznika Praw Obywatelskich, Krajowej Rady Radiofonii i Telewizji, Krajowego Biura Wyborczego, Sądu Najwyższego, Naczelnego Sądu Administracyjnego oraz Państwowej Inspekcji Pracy. 2. Na zlecenie Sejmu, Najwyższa Izba Kontroli przeprowadza kontrolę działalności Kancelarii Prezydenta Rzeczypospolitej Polskiej, Kancelarii Sejmu, Kancelarii Senatu, Krajowej Rady Radiofonii i Telewizji oraz Państwowej Inspekcji Pracy tak jak działalności organów i jednostek, o których mowa w art. 2 ust. 1. 3. Kontrolę działalności Kancelarii Prezydenta Rzeczypospolitej Polskiej tak jak działalności organów i jednostek, o których mowa w art. 2 ust. 1, Najwyższa Izba Kontroli przeprowadza również na wniosek Prezydenta Rzeczypospolitej Polskiej, a Kancelarii Senatu na wniosek Senatu. 
1997_153.txt-Art. 164.;Czy Najwyższa Izba Kontroli przeprowadza kontrolę pod względem dochodowości?;"W ustawie z dnia 23 grudnia 1994 r. o Najwyższej Izbie Kontroli (Dz.U. z 1995 r. Nr 13, poz. 59 oraz z 1996 r. Nr 64, poz. 315 i Nr 89, poz. 402) w art. 2 po ust. 3 dodaje się ust. 4 w brzmieniu: ""4. Najwyższa Izba Kontroli może kontrolować pod względem legalności, gospodarności i rzetelności działalność jednostek organizacyjnych i podmiotów innych niż wymienione w ust. 1 i 2, wykonujących zadania z zakresu powszechnego ubezpieczenia zdrowotnego."". "
1997_740.txt-Art. 14.;W jakiej formie Minister Obrony Narodowej określi warunki i tryb tworzenia wewnętrznych służb ochrony?;Minister Obrony Narodowej określi, w drodze rozporządzenia, dla wewnętrznych służb ochrony działających na terenach podległych, podporządkowanych lub nadzorowanych jednostek organizacyjnych: 1) warunki i tryb ich tworzenia, 2) strukturę organizacyjną i zakres działania, 3) uzbrojenie i wyposażenie, 4) warunki zatrudnienia pracowników, 5) umundurowanie i odznaki służbowe. Rozdział 4 Zasady prowadzenia działalności gospodarczej w zakresie usług ochrony osób i mienia oraz kontrola tej działalności 
1997_740.txt-Art. 13.;W jakiej formie Minister Obrony Narodowej określi warunki i tryb tworzenia wewnętrznych służb ochrony?;Minister Spraw Wewnętrznych i Administracji określi, w drodze rozporządzenia, dla wewnętrznych służb ochrony: 1) szczegółowe zasady oraz tryb ich tworzenia, 2) strukturę organizacyjną, zakres działania i sposób prowadzenia dokumentacji ochronnej, 3) uzbrojenie i wyposażenie, 4) umundurowanie i odznaki służbowe oraz sposób tworzenia dla nich nazw. 
1997_926.txt-Art. 175.;Jakie dokumenty mogą zostać dołączone do protokołu w przypadku zezwolenia organu podatkowego?;Organ podatkowy może zezwolić na dołączenie do protokółu zeznania na piśmie podpisanego przez zeznającego oraz innych dokumentów mających znaczenie dla sprawy. 
2001_1352.txt-Art. 63.;Jakie postępowanie może wszcząć Minister Gospodarki?;1. W przypadku wystąpienia okoliczności wskazujących na przywóz na polski obszar celny towarów podobnych lub ich części w celu obejścia ustanowionych ceł antydumpingowych minister właściwy do spraw gospodarki może wszcząć postępowanie w sprawie obejścia ceł antydumpingowych. 2. Do postępowania, o którym mowa w ust. 1, stosuje się odpowiednio art. 2437 oraz art. 48-59, przy czym powinno być ono zakończone w terminie 9 miesięcy od daty jego rozpoczęcia. 
